"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"98","3_181_7",0,0.024848004995786,0.0494921855358862,0.0494921855358862,0,0.890368427261375,0.946426957489028,0.287011106664738,0.443739608399055,0.0457346304431136,0.244387828517701,0.574776123587139,0.280566027532581,0.70765444920289,0.44624265575245,0.125114891801953,0.293596082524404,0.540342864300193,0.311112536900044,0.83394251575059,0.329125717370321,0.554147029497021,1,17,FALSE
"99","3_181_9",0,0.0140759600121377,0.05052033590538,0.05052033590538,0.0381401780596018,0.693460247057925,0.886115744004713,0.165229919152555,0.584631158948448,0.0352376889745762,0.643458001243202,0.296112989221218,0.61063980684686,0.652168308265133,0.550240436010252,0.034806112071382,0.366694009433591,0.402580817682046,0.076115289858645,0.591207103316854,0.535475448066578,0.71323599306801,1,17,FALSE
"100","5_144_7",0,0.0532299606949178,0.0477473414532864,0.0477473414532864,0.653425174431409,0.773343629442374,0.989092312816785,0.23561085847223,0.700555964273093,0.175092634296318,0.804037359892985,0.876839149384064,0.26209368758287,0.829868642152911,0.333921064548036,0.552512124955678,0,0.946072002734047,0.542037735518736,0.0946941075127925,0.759412958925379,0.0974045390751375,4,54,FALSE
"101","5_146_8",0,0.0616176731827173,0.0474093092768274,0.0474093092768274,0.543765353501467,0.553024283504286,0.993056711660645,0.49548735895055,0.785142149846974,0.163241998984567,0.714998836223462,0.831882123609363,0.106505038289633,0.890674702628067,0.563388426578316,0.558869191907998,0.77183029026669,0,0.232572931336206,0.231763660516147,0.821771540596922,0.0926296874960944,4,54,FALSE
"102","5_153_10",0,0.0957478680071188,0.0470860878000057,0.0470860878000057,0.397631485370734,0.589811097947197,0.925363295633048,0.305646007902639,0.827639833718497,0.189685393012107,0.940754332478081,0.916402516034331,0.0385995084788963,0.866838575230902,0.468709574313773,0.588844186428789,0.150728484867212,0.949219280561971,0.0992402787319249,0.436971355143872,0.771851425393175,0.104116902938919,4,54,FALSE
"103","5_156_4",0,0.0328813426188763,0.0490758517888985,0.0490758517888985,0.603831887696769,0.991637167322203,0.902773129078837,0.251160559689215,0.821600639519672,0.273168611998334,0.847073319935895,0.942457547838052,0.322039122044835,0.725351450272779,0.314983968236054,0.583011551482248,0.408351371588656,0.389990438858841,0.0721188890163686,0.57896405340844,0.809898564177828,0.154226339996825,4,54,FALSE
"104","5_157_7",0,0.0610845746398391,0.0474655244244693,0.0474655244244693,0.543765353501467,0.553024283504286,0.993056711660645,0.49548735895055,0.850009595151585,0.193820095670333,0.714998836223462,0.831882123609363,0.106505038289633,0.890674702628067,0.563388426578316,0.585329535739283,0.77183029026669,0,0.232572931336206,0.231763660516147,0.857693520408114,0.100401404717181,4,54,FALSE
"105","5_161_9",0,0.0333108633043334,0.0490757298425599,0.0490757298425599,0.603831887696769,0.991637167322203,0.902773129078837,0.251160559689215,0.828457231440422,0.273168611998334,0.847073319935895,0.942457547838052,0.322039122044835,0.725351450272779,0.314983968236054,0.583011551482248,0.408351371588656,0.389990438858841,0.0721188890163686,0.57896405340844,0.809898564177828,0.154226339996825,4,54,FALSE
"106","5_162_8",0,0.0328243162282921,0.0483176429296592,0.0483176429296592,0.471180387623539,0.994860508573542,0.993385378729995,0.225097297895862,0.747790309058534,0.193530910148571,0.87656737781464,0.86706080311711,0.419872283998137,0.614555846750927,0.282982926570622,0.507989401083549,0.204137887841099,0.318813077043026,0.167644906923467,0.544909644934265,0.746494795954863,0.153188231781081,4,54,FALSE
"107","5_163_1",0,0.0605710106501941,0.0474514538412093,0.0474514538412093,0.490107172732606,0.553024283504286,0.993056711660645,0.49548735895055,0.666351692063653,0.163241998984567,0.714998836223462,0.723810529679432,0.106505038289633,0.890674702628067,0.563388426578316,0.571127019234164,0.953021853994398,0,0.232572931336206,0.231763660516147,0.821771540596922,0.0982594621180312,4,54,FALSE
